longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-118.39,34.12,29.0,6447.0,1012.0,2184.0,960.0,8.2816,500001.0,<1H OCEAN
-120.42,34.89,24.0,2020.0,307.0,855.0,283.0,5.0099,158200.0,<1H OCEAN
-118.45,34.25,36.0,1453.0,270.0,808.0,275.0,4.3839,216000.0,<1H OCEAN
-118.1,33.91,35.0,1653.0,325.0,1072.0,301.0,3.2708,196200.0,<1H OCEAN
-117.07,32.77,38.0,3779.0,614.0,1495.0,614.0,4.3529,141400.0,NEAR OCEAN
-118.04,33.93,35.0,1805.0,387.0,1505.0,366.0,4.1667,164100.0,<1H OCEAN
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,104500.0,NEAR BAY
-122.26,37.46,26.0,5067.0,750.0,1996.0,728.0,7.0001,500001.0,NEAR OCEAN
-122.03,37.36,16.0,2697.0,803.0,1369.0,723.0,4.4699,313100.0,<1H OCEAN
-117.61,33.43,24.0,2303.0,399.0,851.0,379.0,3.9875,240600.0,NEAR OCEAN
-118.32,34.06,36.0,3239.0,722.0,1383.0,612.0,4.5918,500001.0,<1H OCEAN
-121.23,37.96,44.0,2204.0,473.0,1277.0,435.0,1.5539,62200.0,INLAND
-121.2,37.81,26.0,395.0,74.0,193.0,72.0,7.3718,176300.0,INLAND
-121.91,37.24,24.0,5046.0,1001.0,2449.0,968.0,4.7118,322300.0,<1H OCEAN
-118.48,34.28,35.0,2132.0,368.0,1128.0,341.0,5.3107,218400.0,<1H OCEAN
-117.65,34.1,44.0,1526.0,337.0,831.0,326.0,3.0284,96900.0,INLAND
-121.59,39.82,12.0,1958.0,369.0,875.0,354.0,2.3507,83800.0,INLAND
-118.97,35.41,36.0,1896.0,315.0,937.0,303.0,3.996,94500.0,INLAND
-118.06,33.88,17.0,7187.0,1073.0,3844.0,1068.0,6.5901,278100.0,<1H OCEAN
-118.39,33.85,24.0,4373.0,871.0,1830.0,824.0,5.7128,384600.0,<1H OCEAN
-117.98,33.73,18.0,3833.0,,2192.0,996.0,3.4679,248100.0,<1H OCEAN
-118.32,33.79,35.0,2924.0,658.0,1675.0,602.0,3.8287,318900.0,<1H OCEAN
-120.27,34.72,14.0,1289.0,277.0,693.0,237.0,3.2569,141500.0,<1H OCEAN
-119.65,36.33,52.0,1257.0,257.0,624.0,243.0,2.3523,58100.0,INLAND
-119.86,36.82,12.0,1488.0,253.0,675.0,223.0,4.7622,93100.0,INLAND
-119.23,35.78,8.0,1612.0,343.0,1230.0,330.0,2.1806,100000.0,INLAND
-118.35,34.16,45.0,1390.0,281.0,538.0,270.0,4.2212,278300.0,<1H OCEAN
-120.94,37.68,4.0,13315.0,2424.0,6420.0,2289.0,4.2471,138300.0,INLAND
-118.99,35.24,40.0,282.0,59.0,213.0,71.0,2.35,63700.0,INLAND
-121.11,37.47,12.0,2263.0,410.0,913.0,330.0,3.5795,115500.0,INLAND
-118.02,34.08,28.0,2769.0,631.0,2452.0,581.0,2.6071,164200.0,INLAND
-120.17,39.33,10.0,614.0,141.0,195.0,95.0,0.9283,79500.0,INLAND
-118.35,34.02,34.0,3978.0,1073.0,2725.0,1035.0,1.7622,118500.0,<1H OCEAN
-123.34,39.5,15.0,2342.0,535.0,1064.0,433.0,1.8967,105000.0,INLAND
-122.24,40.18,39.0,2191.0,493.0,1307.0,499.0,1.6483,56000.0,INLAND
-122.03,37.36,28.0,2490.0,345.0,948.0,361.0,6.4913,417800.0,<1H OCEAN
-117.09,32.58,12.0,2565.0,567.0,1785.0,545.0,3.0273,93600.0,NEAR OCEAN
-118.33,34.18,45.0,1552.0,315.0,785.0,316.0,3.7411,212100.0,<1H OCEAN
-121.44,38.53,37.0,1951.0,432.0,1089.0,411.0,2.3272,75700.0,INLAND
-119.7,34.43,35.0,1402.0,369.0,654.0,385.0,2.6205,280600.0,<1H OCEAN
-117.15,34.22,10.0,1039.0,174.0,317.0,109.0,7.2371,257100.0,INLAND
-118.37,33.87,18.0,2516.0,485.0,1128.0,433.0,5.0114,340700.0,<1H OCEAN
-118.01,33.85,29.0,3061.0,612.0,2396.0,640.0,4.6326,208600.0,<1H OCEAN
-122.32,37.94,47.0,1911.0,283.0,697.0,275.0,6.2712,315500.0,NEAR BAY
-117.96,33.94,34.0,2228.0,399.0,1159.0,378.0,4.8906,161900.0,<1H OCEAN
-117.96,34.14,33.0,1994.0,405.0,993.0,403.0,3.766,186700.0,INLAND
-117.55,34.0,17.0,3583.0,700.0,1587.0,719.0,2.6979,95200.0,INLAND
-122.28,37.86,41.0,2214.0,550.0,1213.0,568.0,2.2845,132900.0,NEAR BAY
-117.43,34.07,18.0,2453.0,537.0,1503.0,500.0,2.3768,120200.0,INLAND
-117.21,33.34,10.0,5294.0,817.0,2312.0,810.0,5.4563,402200.0,<1H OCEAN
-120.68,37.47,33.0,1028.0,226.0,658.0,197.0,2.3043,75000.0,INLAND
-122.83,38.96,15.0,1318.0,296.0,567.0,276.0,1.8692,77800.0,INLAND
-122.22,37.37,26.0,440.0,202.0,322.0,218.0,5.1831,411300.0,NEAR OCEAN
-116.87,32.75,15.0,2053.0,321.0,993.0,309.0,5.5164,157100.0,<1H OCEAN
-118.39,33.79,30.0,4402.0,563.0,1582.0,551.0,10.898,500001.0,NEAR OCEAN
-117.13,32.74,46.0,3355.0,768.0,1457.0,708.0,2.6604,164200.0,NEAR OCEAN
-122.45,37.74,38.0,5688.0,930.0,2263.0,908.0,6.203,465700.0,NEAR BAY
-122.47,38.29,14.0,3732.0,846.0,1277.0,775.0,2.5658,171300.0,NEAR BAY
-122.54,37.95,38.0,2310.0,400.0,971.0,386.0,5.697,489000.0,NEAR BAY
-123.1,38.79,20.0,3109.0,712.0,1643.0,638.0,2.8344,237300.0,<1H OCEAN
-117.07,32.56,9.0,3648.0,895.0,3293.0,840.0,3.0992,257700.0,NEAR OCEAN
-118.43,34.08,46.0,778.0,90.0,238.0,93.0,15.0001,500001.0,<1H OCEAN
-122.05,36.97,16.0,3363.0,611.0,1603.0,556.0,4.2542,227300.0,NEAR OCEAN
-122.25,37.49,43.0,2607.0,477.0,1225.0,461.0,4.224,333800.0,NEAR OCEAN
-117.87,34.14,30.0,2495.0,586.0,1139.0,559.0,2.9375,209500.0,INLAND
-118.2,34.05,42.0,1703.0,586.0,2490.0,581.0,2.02,142800.0,<1H OCEAN
-121.32,37.94,36.0,40.0,10.0,64.0,14.0,2.625,50000.0,INLAND
-120.96,38.66,11.0,2339.0,436.0,1062.0,380.0,3.9036,120100.0,INLAND
-120.43,34.96,24.0,2739.0,414.0,1171.0,413.0,4.8155,158200.0,<1H OCEAN
-122.28,37.9,52.0,2003.0,250.0,658.0,244.0,10.0825,500001.0,NEAR BAY
-122.0,37.08,17.0,4154.0,739.0,2149.0,693.0,5.5919,322000.0,NEAR OCEAN
-118.34,33.87,34.0,1069.0,217.0,601.0,212.0,4.6406,261300.0,<1H OCEAN
-118.52,34.21,36.0,1328.0,287.0,823.0,273.0,4.5648,213200.0,<1H OCEAN
-118.22,34.09,42.0,1706.0,488.0,1941.0,447.0,2.5213,138200.0,<1H OCEAN
-118.27,34.1,51.0,3149.0,519.0,1082.0,510.0,6.4459,500001.0,<1H OCEAN
-117.58,34.02,4.0,5998.0,1092.0,3182.0,1042.0,5.2692,206300.0,INLAND
-118.22,34.08,31.0,394.0,117.0,573.0,131.0,1.8173,145800.0,<1H OCEAN
-121.78,36.93,21.0,2794.0,662.0,2236.0,565.0,2.4053,255400.0,<1H OCEAN
-117.36,33.18,39.0,1546.0,291.0,833.0,308.0,2.8893,178500.0,NEAR OCEAN
-119.01,35.36,24.0,1941.0,484.0,1277.0,435.0,1.056,50000.0,INLAND
-117.81,34.11,21.0,3481.0,808.0,1866.0,746.0,3.6201,144600.0,INLAND
-118.1,34.02,33.0,1143.0,172.0,508.0,174.0,4.9107,163100.0,<1H OCEAN
-117.03,32.96,16.0,3424.0,698.0,1940.0,645.0,4.121,159300.0,<1H OCEAN
-122.23,39.75,16.0,2026.0,396.0,1031.0,382.0,1.9375,85800.0,INLAND
-121.96,37.1,20.0,922.0,155.0,361.0,135.0,6.3617,304200.0,<1H OCEAN
-121.06,39.04,15.0,1999.0,287.0,585.0,246.0,5.5161,204800.0,INLAND
-118.1,34.09,46.0,2822.0,525.0,1434.0,520.0,3.8906,258000.0,<1H OCEAN
-118.32,33.95,44.0,2131.0,360.0,1040.0,330.0,5.0912,198900.0,<1H OCEAN
-122.21,37.44,35.0,1140.0,193.0,486.0,199.0,4.6908,144000.0,NEAR OCEAN
-118.19,34.1,39.0,2054.0,423.0,1205.0,403.0,4.239,196600.0,<1H OCEAN
-122.38,40.09,16.0,2077.0,388.0,1155.0,389.0,3.1361,73600.0,INLAND
-117.3,33.06,31.0,2128.0,520.0,1049.0,485.0,4.027,275000.0,NEAR OCEAN
-122.13,37.71,44.0,1421.0,298.0,609.0,270.0,3.5781,198300.0,NEAR BAY
-118.29,33.98,44.0,2261.0,555.0,1348.0,455.0,1.9125,100000.0,<1H OCEAN
-121.53,39.52,30.0,1030.0,161.0,448.0,159.0,2.4821,85800.0,INLAND
-120.47,34.65,16.0,2549.0,428.0,1486.0,432.0,4.2875,168100.0,NEAR OCEAN
-118.3,34.0,52.0,1718.0,354.0,1026.0,312.0,2.0,116400.0,<1H OCEAN
-118.22,33.8,33.0,1984.0,477.0,1764.0,440.0,3.875,146300.0,NEAR OCEAN
-118.27,33.97,39.0,2569.0,688.0,2601.0,630.0,2.0754,92500.0,<1H OCEAN
-118.34,34.06,52.0,1311.0,310.0,707.0,290.0,3.4812,327300.0,<1H OCEAN
-119.21,34.18,13.0,6103.0,1319.0,2986.0,1212.0,3.9718,500001.0,NEAR OCEAN
-117.83,33.81,24.0,3550.0,895.0,2828.0,834.0,2.8403,181800.0,<1H OCEAN
-118.85,34.18,11.0,5873.0,1455.0,3089.0,1365.0,3.5504,212800.0,<1H OCEAN
-118.37,36.19,10.0,443.0,111.0,48.0,21.0,3.125,65000.0,INLAND
-121.85,37.39,15.0,8748.0,1547.0,4784.0,1524.0,5.8322,294800.0,<1H OCEAN
-118.37,33.85,25.0,5622.0,998.0,2537.0,1009.0,5.785,384600.0,<1H OCEAN
-118.96,35.37,32.0,1025.0,259.0,874.0,236.0,1.9612,51400.0,INLAND
-120.64,35.65,9.0,3466.0,673.0,2356.0,619.0,2.9926,135700.0,<1H OCEAN
-118.41,34.19,42.0,779.0,145.0,450.0,148.0,3.9792,183600.0,<1H OCEAN
-122.53,37.95,22.0,7446.0,1979.0,2980.0,1888.0,3.5838,200000.0,NEAR BAY
-117.33,34.15,28.0,1473.0,333.0,1196.0,312.0,1.6993,72700.0,INLAND
-117.23,33.57,6.0,13724.0,2269.0,5860.0,1986.0,3.9617,162200.0,<1H OCEAN
-120.44,37.28,12.0,2855.0,598.0,1658.0,586.0,2.3929,80700.0,INLAND
-117.2,33.7,23.0,6323.0,1196.0,1984.0,1124.0,2.3276,91600.0,<1H OCEAN
-121.34,38.64,12.0,2772.0,578.0,1335.0,565.0,3.8068,92600.0,INLAND
-117.28,34.12,36.0,2991.0,822.0,2378.0,751.0,1.3571,70200.0,INLAND
-119.48,36.5,32.0,3451.0,625.0,1968.0,574.0,2.9554,70900.0,INLAND
-122.04,37.04,17.0,4977.0,994.0,1987.0,947.0,3.8854,215600.0,NEAR OCEAN
-118.45,34.03,39.0,1657.0,402.0,931.0,363.0,3.7813,318100.0,<1H OCEAN
-117.47,33.92,18.0,3869.0,773.0,2500.0,726.0,3.6583,132800.0,INLAND
-121.94,37.75,16.0,5121.0,735.0,2464.0,761.0,6.6204,312500.0,<1H OCEAN
-117.28,34.51,10.0,4676.0,884.0,2845.0,812.0,3.0181,93100.0,INLAND
-120.95,35.44,30.0,6346.0,1410.0,1769.0,887.0,2.6864,229200.0,NEAR OCEAN
